=== Results Summary ===

alu-v0_27             magic=22.1  hbm=22.34
wim_266               magic=529.6  hbm=532.46
square_root_7         magic=3750.717391304348  hbm=3773.42
4gt11_83              magic=16.66  hbm=16.76
co14_215              magic=None  hbm=None
max46_240             magic=None  hbm=None
z4_268                magic=1677.12  hbm=1675.96
ham7_104              magic=192.28  hbm=191.9
sf_276                magic=471.5  hbm=466.9
rd84_253              magic=None  hbm=None
rd53_311              magic=136.78  hbm=136.62
0410184_169           magic=104.64  hbm=104.96
4mod5-v0_19           magic=21.82  hbm=21.78
