Benchmark,magic,hbmA,hbmB_shared2,hbmC_shared2,hbmB_shared4,hbmC_shared4,ideal,t_count,total_gates,AvgParallelism,MaxParallelism,Depth,NumQubits
decod24-enable_126,210,176,197,185,216,176,176.0,147,338,1.7891156462585034,5.0,190.0,16.0
decod24-v0_38,44,29,44,30,44,29,29.0,21,51,1.5714285714285714,2.0,30.0,16.0
decod24-v1_41,55,45,50,48,51,45,45.0,35,85,1.7428571428571429,3.0,50.0,16.0
decod24-v2_43,43,28,43,29,43,31,28.0,21,52,1.5714285714285714,2.0,30.0,16.0
decod24-v3_45,86,75,77,78,81,76,75.0,63,150,1.6984126984126984,3.0,84.0,16.0
dist_223,20443,17648,20102,18283,18768,17656,,16618,38046,2.0518714646768563,7.0,19694.0,16.0
ex-1_166,13,11,11,11,15,11,11.0,7,19,1.2857142857142858,2.0,12.0,16.0
ex1_226,5,5,5,5,5,5,5.0,0,7,0.0,0.0,5.0,16.0
ex2_227,373,319,345,330,337,322,319.0,273,631,1.879120879120879,6.0,355.0,16.0
ex3_229,253,207,244,212,246,209,207.0,175,403,1.9028571428571428,4.0,226.0,16.0
f2_232,695,597,660,618,661,597,597.0,525,1206,1.8495238095238096,4.0,668.0,16.0
graycode6_47,5,5,5,5,5,5,5.0,0,5,0.0,0.0,5.0,16.0
ground_state_estimation_10,—,—,—,—,—,—,,0,390180,0.0,0.0,245614.0,16.0
ham15_107,4890,4335,4807,4491,4526,4336,4335.0,3815,8763,1.9336828309305372,13.0,4819.0,16.0
ham3_102,15,13,13,15,14,13,13.0,7,20,1.5714285714285714,2.0,13.0,16.0
ham7_104,192,172,177,177,180,172,172.0,133,320,1.9172932330827068,4.0,185.0,16.0
hwb4_49,142,127,133,132,140,127,127.0,98,233,1.653061224489796,3.0,134.0,16.0
hwb5_53,819,699,837,719,821,701,699.0,574,1336,1.7700348432055748,3.0,758.0,16.0
hwb6_56,3884,3387,3665,3529,3757,3397,3387.0,2933,6723,1.82236617797477,5.0,3736.0,16.0
hwb7_59,14128,12094,13637,12594,13678,12172,,10654,24379,1.8785432701332836,6.0,13437.0,16.0
hwb8_113,—,34641,36605,36067,37382,34699,,30338,69380,1.8332124728063812,7.0,38717.0,16.0
hwb9_119,—,—,—,—,—,—,,90860,207775,1.838102575390711,7.0,116199.0,16.0
inc_237,5744,5230,5614,5486,5755,5253,5230.0,4634,10619,1.8964177816141563,10.0,5863.0,16.0
ising_model_10,38,20,35,20,39,20,20.0,0,480,0.0,0.0,70.0,16.0
ising_model_13,40,20,62,20,40,20,20.0,0,633,0.0,0.0,71.0,16.0
ising_model_16,53,25,55,20,60,20,20.0,0,786,0.0,0.0,71.0,16.0
life_238,12501,11136,12075,11511,11974,11144,,9800,22445,1.8775510204081636,7.0,12511.0,16.0
majority_239,338,308,317,316,331,311,308.0,266,612,1.9022556390977443,5.0,344.0,16.0
max46_240,14754,12823,14086,13356,14424,12836,,11844,27126,2.027355623100304,8.0,14257.0,16.0
miller_11,36,29,29,31,34,29,29.0,21,50,1.4761904761904765,2.0,29.0,16.0
mini-alu_167,179,147,169,156,170,148,147.0,126,288,1.7936507936507935,3.0,162.0,16.0
mini_alu_305,72,67,77,69,76,67,67.0,70,173,2.4,4.0,69.0,16.0
misex1_241,2689,2391,2627,2475,2621,2392,2391.0,2100,4813,1.898095238095238,8.0,2676.0,16.0
mlp4_245,10345,9224,10115,9522,10107,9224,9224.0,8232,18852,1.9047619047619049,8.0,10328.0,16.0
mod10_171,149,127,132,129,132,129,127.0,105,244,1.7809523809523808,3.0,139.0,16.0
mod10_176,105,92,96,98,95,93,92.0,77,178,1.8571428571428568,4.0,101.0,16.0
mod5adder_127,343,274,331,284,328,280,274.0,238,555,1.8487394957983196,4.0,302.0,16.0
mod5d1_63,13,13,13,13,15,13,13.0,7,22,1.2857142857142858,2.0,13.0,16.0
mod5d2_64,33,31,33,32,32,31,31.0,21,53,1.761904761904762,3.0,32.0,16.0
mod5mils_65,21,20,23,20,23,20,20.0,14,35,1.4285714285714286,2.0,21.0,16.0
mod8-10_177,266,232,268,243,272,234,232.0,189,440,1.8783068783068784,3.0,251.0,16.0
mod8-10_178,203,177,214,183,207,177,177.0,147,342,1.9523809523809523,3.0,193.0,16.0
one-two-three-v0_97,171,152,164,162,172,154,152.0,126,290,1.8253968253968251,4.0,163.0,16.0
one-two-three-v0_98,88,77,80,80,89,77,77.0,63,146,1.8888888888888888,5.0,82.0,16.0
one-two-three-v1_99,82,72,75,72,81,72,72.0,56,132,1.7857142857142858,4.0,76.0,16.0
one-two-three-v2_100,42,37,47,38,41,37,37.0,28,69,1.4285714285714286,2.0,40.0,16.0
one-two-three-v3_101,41,37,39,40,38,37,37.0,28,70,1.5,3.0,40.0,16.0
plus63mod4096_163,—,—,—,—,—,—,,56322,128744,1.849650225489152,8.0,72246.0,16.0
plus63mod8192_164,—,—,—,—,—,—,,81858,187112,1.85494392728872,7.0,105142.0,16.0
pm1_249,930,842,882,858,961,842,,770,1776,2.031168831168831,9.0,940.0,16.0
qe_qft_4,23,19,19,19,19,19,,0,27,0.0,0.0,36.0,5.0
qe_qft_5,26,26,33,26,33,26,,0,38,0.0,0.0,51.0,5.0
qft_10,68,35,64,34,63,34,,0,200,0.0,0.0,63.0,16.0
qft_16,162,71,167,58,168,58,58.0,0,512,0.0,0.0,105.0,16.0
qft_20,259,99,251,74,260,74,,0,400,0.0,0.0,149.0,20.0
qiskit-3_17_13,26,21,22,21,30,21,,14,36,1.8571428571428568,3.0,22.0,16.0
qiskit-alu-v0_26,52,45,51,47,49,45,,35,84,1.6285714285714286,3.0,49.0,16.0
radd_250,1793,1604,1729,1647,1724,1606,1604.0,1400,3213,1.9042857142857144,8.0,1781.0,16.0
rd32-v0_66,30,20,30,20,30,21,,14,34,1.8571428571428568,3.0,20.0,16.0
rd32-v1_68,30,20,30,20,30,22,,14,36,1.8571428571428568,3.0,21.0,16.0
rd32_270,46,45,46,46,48,45,,35,84,1.6857142857142855,3.0,47.0,16.0
rd53_130,585,509,559,530,573,516,,448,1043,1.8571428571428568,4.0,569.0,16.0
rd53_131,256,231,245,236,242,231,,196,469,1.846938775510204,6.0,261.0,16.0
rd53_133,333,293,308,307,309,294,,252,580,1.8888888888888888,6.0,327.0,16.0
rd53_135,167,148,165,155,164,148,,126,296,1.8888888888888888,4.0,159.0,16.0
rd53_138,78,54,69,57,65,54,,56,132,2.4285714285714284,5.0,56.0,16.0
rd53_251,710,650,729,674,718,650,,560,1291,1.9071428571428573,4.0,712.0,16.0
rd53_311,138,118,122,125,128,118,,112,275,2.196428571428572,4.0,124.0,16.0
rd73_140,114,88,106,94,112,88,,98,230,2.6122448979591835,7.0,92.0,16.0
rd73_252,2898,2599,2894,2671,2880,2602,,2317,5321,1.9331031506258087,7.0,2867.0,16.0
rd84_142,134,105,151,116,143,106,105.0,147,343,3.394557823129252,8.0,110.0,16.0
rd84_253,7386,6529,7048,6717,7376,6533,,5957,13658,1.9941245593419503,6.0,7261.0,16.0
root_255,9004,7927,8872,8203,8956,7927,,7490,17159,2.0558077436582107,8.0,8835.0,16.0
sao2_257,20312,17555,19009,18141,19722,17580,,16863,38577,2.1245923026744946,9.0,19563.0,16.0
sf_274,444,396,471,414,468,396,396.0,336,781,1.9464285714285716,4.0,436.0,16.0
sf_276,470,397,500,413,469,397,397.0,336,778,1.9166666666666667,3.0,435.0,16.0
sqn_258,5492,4931,5621,5111,5436,4932,,4459,10223,2.000224265530388,6.0,5458.0,16.0
sqrt8_260,1705,1489,1638,1551,1619,1489,,1309,3009,1.8922841864018332,7.0,1659.0,16.0
squar5_261,1030,952,1024,985,999,952,,868,1993,1.967741935483871,7.0,1049.0,16.0
square_root_7,3633,3354,3679,3432,3686,3354,,2919,7630,1.7975334018499487,4.0,3847.0,16.0
sym10_262,—,31640,34887,32480,34093,31641,,28084,64283,1.897094430992736,10.0,35572.0,16.0
sym6_145,2272,1985,2165,2068,2155,1990,,1701,3888,1.866549088771311,5.0,2187.0,16.0
sym6_316,140,126,143,131,136,126,,112,270,1.9464285714285716,5.0,135.0,16.0
sym9_146,151,119,143,131,137,119,,140,328,2.742857142857143,9.0,127.0,16.0
sym9_148,12039,10748,11902,11188,12163,10765,,9408,21504,1.865433673469388,9.0,12087.0,16.0
sym9_193,19298,17123,18518,17643,18345,17185,,15232,34881,1.9015231092436973,9.0,19235.0,16.0
sys6-v0_111,97,71,101,82,105,73,,91,215,2.8461538461538463,6.0,75.0,16.0
urf1_149,—,—,—,—,—,—,,80878,184864,1.9280892208017013,6.0,99585.0,16.0
