Benchmark,AvgParallelism,MaxParallelism,Depth,NumQubits
sym6_316,1.9464285714285714,5,135,16
sym9_146,2.742857142857143,9,127,16
sym9_148,1.8654336734693877,9,12087,16
sym9_193,1.9015231092436975,9,19235,16
sys6-v0_111,2.8461538461538463,6,75,16
urf1_149,1.9280892208017013,6,99585,16
urf1_278,1.7224595950213635,4,30955,16
urf2_152,1.8643567168418063,6,44100,16
urf2_277,1.6933956143765407,4,11390,16
urf3_155,1.9047798959390314,6,229365,16
urf3_279,1.7327428651764376,4,70702,16
urf4_187,2.0157123216740764,9,264330,16
urf5_158,1.8981538119334926,6,89145,16
urf5_280,1.7546453546453546,4,27822,16
urf6_160,1.8749667464751263,11,93645,16
wim_266,1.9976580796252927,4,514,16
xor5_254,0.0,0,5,16
z4_268,1.9723261032161556,6,1644,16
