=== Results Summary ===

sf_274                magic=471.6  hbm=470.18
ex1_226               magic=5  hbm=5
misex1_241            magic=2641.02  hbm=2639.94
4gt12-v1_89           magic=139.1  hbm=139.32
C17_204               magic=261.08  hbm=261.02
3_17_13               magic=25.48  hbm=25.44
rd53_138              magic=69.08  hbm=68.54
ham15_107             magic=4835.14  hbm=4826.54
4gt5_76               magic=58.76  hbm=59.08
sym9_193              magic=None  hbm=None
cnt3-5_180            magic=217.46  hbm=219.94
4gt4-v0_73            magic=243.98  hbm=243.36
decod24-v1_41         magic=50.6  hbm=50.56
4mod7-v0_94           magic=98.16  hbm=97.94
rd32-v0_66            magic=30  hbm=30
alu-v0_26             magic=50.8  hbm=51.02
sys6-v0_111           magic=97.84  hbm=98.32
qe_qft_5              magic=29.28  hbm=29.58
qiskit-alu-v0_26      magic=51.3  hbm=51.16
ising_model_10        magic=37.18  hbm=38.82
cm42a_207             magic=963.16  hbm=963.68
4gt4-v0_80            magic=110.08  hbm=110.28
alu-v2_31             magic=264.64  hbm=264.58
4mod5-v0_18           magic=42  hbm=41.88
urf1_149              magic=None  hbm=None
radd_250              magic=1777  hbm=1777.86
one-two-three-v3_101  magic=41.44  hbm=41.26
rd53_251              magic=737.96  hbm=746.2
mini_alu_305          magic=79.9  hbm=81.78
one-two-three-v0_98   magic=88.92  hbm=88.82
dist_223              magic=None  hbm=None
ising_model_16        magic=59.82  hbm=62.3
4_49_16               magic=133.24  hbm=133.98
sym10_262             magic=None  hbm=None
clip_206              magic=None  hbm=None
ex2_227               magic=361.14  hbm=357.32
4gt4-v0_78            magic=146  hbm=146.06
sao2_257              magic=None  hbm=None
urf2_277              magic=None  hbm=None
ising_model_13        magic=51.9  hbm=51.06
alu-bdd_288           magic=49.84  hbm=49.68
decod24-v0_38         magic=44  hbm=44
4gt12-v0_86           magic=153.64  hbm=153.5
sym9_146              magic=155.64  hbm=155.32
alu-v4_37             magic=23.16  hbm=23.24
9symml_195            magic=None  hbm=None
one-two-three-v0_97   magic=174.46  hbm=172.76
mlp4_245              magic=None  hbm=None
4gt11_84              magic=16  hbm=16
xor5_254              magic=5  hbm=5
mod10_176             magic=105.08  hbm=105.2
f2_232                magic=679.88  hbm=682.9
one-two-three-v2_100  magic=42.06  hbm=42.5
decod24-v3_45         magic=88.36  hbm=87.96
4mod7-v1_96           magic=98.46  hbm=96.96
4gt5_77               magic=76.98  hbm=77.26
rd53_131              magic=259.4  hbm=259.68
urf4_187              magic=None  hbm=None
alu-v2_30             magic=307.88  hbm=309.26
mod5adder_127         magic=329.6  hbm=329.9
hwb4_49               magic=144.18  hbm=144.26
mod5mils_65           magic=20.56  hbm=20.72
4mod5-v1_24           magic=21.5  hbm=21.28
4gt4-v0_79            magic=141.92  hbm=141.8
mod5d2_64             magic=33.1  hbm=33.2
rd53_130              magic=580.42  hbm=581.56
qe_qft_4              magic=20.6  hbm=19.84
cm85a_209             magic=6321.68  hbm=6296.92
rd73_140              magic=111.96  hbm=110.88
hwb9_119              magic=None  hbm=None
alu-v2_33             magic=21.86  hbm=21.82
4gt10-v1_81           magic=89.9  hbm=89.64
