=== Results Summary ===

hwb8_113              magic=None  hbm=None
sqn_258               magic=5642.06  hbm=5624.84
urf5_158              magic=None  hbm=None
alu-v0_27             magic=21.88  hbm=22.04
wim_266               magic=529.52  hbm=533.1
square_root_7         magic=3791.3  hbm=3783.02
4gt11_83              magic=16.76  hbm=16.84
co14_215              magic=9089.82  hbm=9071.52
max46_240             magic=None  hbm=None
z4_268                magic=1679.72  hbm=1678.46
ham7_104              magic=188.2  hbm=191.8
sf_276                magic=468.64  hbm=469.24
rd84_253              magic=7416.32  hbm=7416.28
rd53_311              magic=132.64  hbm=132.38
0410184_169           magic=104.24  hbm=104.7
4mod5-v0_19           magic=21.94  hbm=21.62
